prime one length (bin digits), 389
prime two length (bin digits), 661
modulus - n length (bin Digits), 1049
phi(n) length (bin digits), 1049
random seed used, 665
message length (bin digits), encryption time (seconds), decryption time (seconds)
9, 0.229256, 0.401074
68, 0.232853, 0.403091
13, 0.230004, 0.400161
113, 0.235262, 0.400238
81, 0.233167, 0.399608
54, 0.232712, 0.39961
100, 0.234899, 0.400304
134, 0.235426, 0.401692
49, 0.27114, 0.401088
131, 0.234636, 0.399859
175, 0.23625, 0.402899
12, 0.229816, 0.399392
89, 0.233999, 0.399607
8, 0.229028, 0.399315
181, 0.235165, 0.399817
153, 0.235545, 0.400095
10, 0.229389, 0.400035
92, 0.235119, 0.399283
134, 0.235135, 0.399165
1, 0.227855, 0.400353
134, 0.234945, 0.399379
86, 0.234719, 0.4003
19, 0.230238, 0.398872
1, 0.226628, 0.40062
57, 0.233097, 0.399712
109, 0.234044, 0.399109
24, 0.230878, 0.399733
76, 0.233076, 0.399674
112, 0.23536, 0.399527
46, 0.232308, 0.399275
113, 0.234476, 0.400671
89, 0.233844, 0.398721
9, 0.22953, 0.399706
34, 0.231316, 0.399216
2, 0.227922, 0.401482
11, 0.230764, 0.3995
147, 0.236326, 0.39927
197, 0.2358, 0.400107
29, 0.230813, 0.399545
136, 0.234785, 0.401638
169, 0.235009, 0.399637
128, 0.234532, 0.401637
160, 0.235083, 0.399428
10, 0.229582, 0.399465
147, 0.236456, 0.401204
80, 0.232837, 0.424134
108, 0.234198, 0.399921
41, 0.231153, 0.399556
157, 0.236278, 0.399982
5, 0.230303, 0.401051
40, 0.231482, 0.399974
15, 0.231082, 0.400819
150, 0.234746, 0.399609
76, 0.232919, 0.40248
148, 0.235436, 0.399383
35, 0.231607, 0.399537
26, 0.232563, 0.402689
45, 0.231947, 0.400884
46, 0.233479, 0.400806
23, 0.230443, 0.399441
129, 0.234918, 0.400708
126, 0.234837, 0.400945
176, 0.23527, 0.40084
90, 0.234775, 0.399433
110, 0.234638, 0.398883
142, 0.235421, 0.399519
55, 0.232411, 0.399512
95, 0.233366, 0.40083
112, 0.234067, 0.39951
2, 0.227981, 0.399772
38, 0.231284, 0.4025
67, 0.235499, 0.399556
165, 0.236246, 0.400689
76, 0.235034, 0.401851
66, 0.232919, 0.399929
67, 0.232453, 0.39981
90, 0.233558, 0.401158
159, 0.235357, 0.399735
140, 0.234649, 0.399484
28, 0.231669, 0.399373
52, 0.232213, 0.402108
36, 0.232906, 0.40201
137, 0.235045, 0.435645
169, 0.235207, 0.400072
130, 0.23483, 0.400766
144, 0.23497, 0.400593
85, 0.233951, 0.399747
176, 0.235152, 0.399217
152, 0.236069, 0.402691
92, 0.233895, 0.399778
148, 0.234981, 0.402039
197, 0.235675, 0.399682
126, 0.234848, 0.399828
