message length (char), 200
random seed used, 665
prime one length (bin digits), prime two length (bin digits), modulus - n length (bin Digits, phi(n) length (bin digits), encryption time (seconds), decryption time (seconds)
442, 620, 1061, 1061,0.277356, 0.38419
472, 628, 1099, 1099,0.313881, 0.414929
606, 352, 957, 957,0.306071, 0.177195
367, 589, 955, 955,0.185599, 0.293988
513, 419, 931, 931,0.245214, 0.201224
359, 584, 942, 942,0.17547, 0.28437
452, 511, 962, 962,0.230179, 0.258975
451, 446, 896, 896,0.197711, 0.19406
484, 337, 820, 820,0.184108, 0.128088
439, 515, 953, 953,0.219794, 0.258106
482, 403, 884, 884,0.21101, 0.176979
519, 478, 996, 996,0.284769, 0.264296
490, 387, 876, 876,0.208485, 0.165093
545, 465, 1009, 1009,0.302364, 0.259313
481, 454, 934, 934,0.232905, 0.220162
388, 464, 851, 851,0.157426, 0.189073
391, 572, 962, 962,0.201533, 0.290895
500, 613, 1112, 1112,0.337442, 0.412523
375, 413, 787, 787,0.132532, 0.145806
514, 622, 1135, 1135,0.358827, 0.433774
431, 344, 774, 774,0.14672, 0.118299
589, 397, 985, 985,0.315043, 0.211135
450, 495, 944, 944,0.219832, 0.241375
360, 343, 702, 702,0.100602, 0.0959599
524, 560, 1083, 1083,0.335017, 0.357847
419, 421, 839, 839,0.164242, 0.164543
505, 453, 957, 957,0.25379, 0.226652
434, 569, 1002, 1002,0.24007, 0.316412
407, 493, 899, 899,0.184164, 0.222382
617, 461, 1077, 1077,0.390694, 0.296987
537, 521, 1057, 1057,0.325335, 0.316575
371, 641, 1011, 1011,0.211524, 0.362431
592, 443, 1034, 1034,0.350495, 0.258746
386, 396, 781, 781,0.1316, 0.134756
359, 381, 739, 739,0.11147, 0.119158
479, 589, 1067, 1067,0.296761, 0.366001
528, 617, 1144, 1144,0.374949, 0.435628
495, 433, 927, 927,0.232189, 0.20245
654, 538, 1191, 1191,0.50276, 0.411947
441, 387, 827, 827,0.168198, 0.14699
471, 344, 814, 814,0.174557, 0.127989
482, 467, 948, 948,0.248733, 0.230958
351, 421, 771, 771,0.119584, 0.142293
652, 370, 1021, 1021,0.369644, 0.21115
493, 351, 843, 843,0.194818, 0.140013
387, 391, 777, 777,0.131128, 0.133945
483, 658, 1140, 1140,0.341921, 0.464378
472, 425, 896, 896,0.20803, 0.186785
520, 589, 1108, 1108,0.349689, 0.395951
396, 495, 890, 890,0.175085, 0.217593
371, 370, 740, 740,0.116477, 0.115742
587, 417, 1003, 1003,0.322336, 0.229948
401, 654, 1054, 1054,0.24559, 0.396408
523, 432, 954, 954,0.261534, 0.217354
539, 469, 1007, 1007,0.298418, 0.259875
416, 577, 992, 992,0.225854, 0.308559
599, 600, 1198, 1198,0.464376, 0.46385
389, 362, 750, 750,0.122924, 0.115911
363, 469, 831, 831,0.139526, 0.178552
593, 472, 1064, 1064,0.368453, 0.294852
533, 502, 1034, 1034,0.315182, 0.295179
554, 519, 1072, 1072,0.346228, 0.32328
520, 513, 1032, 1032,0.304289, 0.299712
568, 565, 1132, 1132,0.393065, 0.392395
469, 653, 1121, 1121,0.31875, 0.440731
